Extracted Text
Institutes
Centre for Competence in Liturgy
KOPTA
Department of Legal Theory and History of Law
Department of Public Law
Department of ‌Private Law
Department of Penal Law
Department of Economic Law
Department of ‌Business Administration
Department of ‌Economics
Department of Social Sciences
Competence Centers
Service Sector
Pre-clinic Human Medicine
Dentistry
Inselspital Bern - Clinics and Institutes
Medical Education
Centers of Competence
Faculty Centers
Department of Clinical ‌Veterinary Science
Department of Infectious Diseases and Pathobiology (DIP)
Department of Clinical Research and ‌Veterinary Public Health (DCR-VPH)
Strategic centers
Department of History and Archaeology
Department of Art ‌and Cultural Sciences
Department of Linguistics ‌and Literary Studies
Walter Benjamin Kolleg
Interdisciplinary Unities
Institutes
Interdisciplinary Unities
"Mathematics, Statistics and Informatics"
Physics and Astronomy
"Chemistry, Biochemistry and Pharmacy"
Biology
Geosciences
Centers of Competence
Strategic centers
Centers with specialized roles
Interfaculty units
